Analytics overview
2023-09-16 - 2023-10-16
Content types,All
Devices,All
Source,All
Publish Types,
Age,All
Gender,All
Claimed accounts,All Pins
Format,All
Curated content,Not included

Date,Impressions
2023-09-16,1905
2023-09-17,2036
2023-09-18,2021
2023-09-19,1955
2023-09-20,2036
2023-09-21,2112
2023-09-22,2040
2023-09-23,2011
2023-09-24,2202
2023-09-25,2293
2023-09-26,2116
2023-09-27,2210
2023-09-28,1958
2023-09-29,1819
2023-09-30,1849
2023-10-01,1982
2023-10-02,1825
2023-10-03,1474
2023-10-04,1495
2023-10-05,2079
2023-10-06,2101
2023-10-07,1933
2023-10-08,2041
2023-10-09,2207
2023-10-10,2045
2023-10-11,2036
2023-10-12,2010
2023-10-13,2069
2023-10-14,1830
2023-10-15,2112
2023-10-16,509
Data starting from 2023-10-15 is an estimate that gets adjusted as it's verified over time.

Top Boards 2023-09-16 - 2023-10-16
Pinterest Link,Impressions,Engagement,Pin clicks,Outbound clicks,Saves
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-30/,40591,1889,1714,4,172
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-15/,3289,72,63,0,9
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-33/,2727,108,99,0,9
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-32/,1621,24,22,0,2
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-35/,1547,51,41,1,9
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-10/,1389,35,31,1,3
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-14/,1261,26,21,1,5
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-5/,1252,42,37,1,4
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-8/,1123,30,28,0,2
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-6/,785,32,25,0,7
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-3/,777,54,43,0,11
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-1/,628,17,15,0,2
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-2/,521,17,16,0,1
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-29/,513,11,11,0,0
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-34/,384,21,14,0,7
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-7/,257,7,6,0,1
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-37/,251,3,2,1,0
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-0/,248,15,14,0,1
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-38/,180,0,0,0,0
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-12/,145,2,2,0,0
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-31/,127,5,3,0,2
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-21/,110,11,8,0,3
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-36/,100,0,0,0,0
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-4/,93,3,3,0,0
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-27/,72,4,2,0,2
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-16/,45,1,1,0,0
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-22/,44,4,2,0,2
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-28/,40,0,0,0,0
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-9/,36,0,0,0,0
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-17/,29,0,0,0,0
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-26/,24,3,3,1,0
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-13/,20,0,0,0,0
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-19/,20,0,0,0,0
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-24/,12,0,0,0,0
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-25/,12,0,0,0,0
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-18/,11,0,0,0,0
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-11/,7,0,0,0,0
https://www.pinterest.com/kraboweskorupki/przedwio%C5%9Bnie-23/,6,0,0,0,0
https://www.pinterest.com/kraboweskorupki/_quick_creates/,3,0,0,0,0
"Top boards table is restricted to data from the last 6 months. This includes estimated data from 2023-10-15, which gets adjusted as it's verified over time."

Top Pins 2023-09-16 - 2023-10-16
Pinterest Link,Content Type,Source,Canonical,Engagement
https://www.pinterest.com/pin/603482418828202898/,Organic,From you,No,999
https://www.pinterest.com/pin/603482418828202876/,Organic,From you,No,732
https://www.pinterest.com/pin/603482418828202916/,Organic,From you,No,92
https://www.pinterest.com/pin/603482418808772363/,Organic,From you,No,66
https://www.pinterest.com/pin/603482418832871121/,Organic,From you,No,56
https://www.pinterest.com/pin/603482418804535547/,Organic,From you,No,53
https://www.pinterest.com/pin/603482418805385823/,Organic,From you,No,32
https://www.pinterest.com/pin/603482418828202849/,Organic,From you,No,28
https://www.pinterest.com/pin/603482418836539581/,Organic,From you,No,22
https://www.pinterest.com/pin/603482418831061781/,Organic,From you,No,22
https://www.pinterest.com/pin/603482418831136813/,Organic,From you,No,19
https://www.pinterest.com/pin/603482418804205246/,Organic,From you,No,18
https://www.pinterest.com/pin/603482418809274950/,Organic,From you,No,16
https://www.pinterest.com/pin/603482418828202948/,Organic,From you,No,15
https://www.pinterest.com/pin/603482418804992228/,Organic,From you,No,14
https://www.pinterest.com/pin/603482418805611177/,Organic,From you,No,13
https://www.pinterest.com/pin/603482418804272697/,Organic,From you,No,12
https://www.pinterest.com/pin/603482418816191014/,Organic,From you,No,11
https://www.pinterest.com/pin/603482418831136810/,Organic,From you,No,10
https://www.pinterest.com/pin/603482418828202960/,Organic,From you,No,9
https://www.pinterest.com/pin/603482418835222346/,Organic,From you,No,9
https://www.pinterest.com/pin/603482418833905853/,Organic,From you,No,8
https://www.pinterest.com/pin/603482418833905855/,Organic,From you,No,8
https://www.pinterest.com/pin/603482418805462560/,Organic,From you,No,8
https://www.pinterest.com/pin/603482418804535704/,Organic,From you,No,8
https://www.pinterest.com/pin/603482418804618354/,Organic,From you,No,7
https://www.pinterest.com/pin/603482418826194843/,Organic,From you,No,7
https://www.pinterest.com/pin/603482418828202844/,Organic,From you,No,7
https://www.pinterest.com/pin/603482418804992145/,Organic,From you,No,7
https://www.pinterest.com/pin/603482418832871123/,Organic,From you,No,6
https://www.pinterest.com/pin/603482418808545279/,Organic,From you,No,6
https://www.pinterest.com/pin/603482418830779906/,Organic,From you,No,6
https://www.pinterest.com/pin/603482418808738103/,Organic,From you,No,5
https://www.pinterest.com/pin/603482418830779903/,Organic,From you,No,5
https://www.pinterest.com/pin/603482418826302636/,Organic,From you,No,4
https://www.pinterest.com/pin/603482418823018944/,Organic,From you,No,4
https://www.pinterest.com/pin/603482418804618308/,Organic,From you,No,4
https://www.pinterest.com/pin/603482418818102889/,Organic,From you,No,4
https://www.pinterest.com/pin/603482418804537392/,Organic,From you,No,4
https://www.pinterest.com/pin/603482418805462577/,Organic,From you,No,4
https://www.pinterest.com/pin/603482418804536229/,Organic,From you,No,4
https://www.pinterest.com/pin/603482418829180316/,Organic,From you,No,4
https://www.pinterest.com/pin/603482418804991761/,Organic,From you,No,4
https://www.pinterest.com/pin/603482418804535682/,Organic,From you,No,4
https://www.pinterest.com/pin/603482418834994365/,Organic,From you,No,3
https://www.pinterest.com/pin/603482418834793648/,Organic,From you,No,3
https://www.pinterest.com/pin/603482418840923239/,Organic,From you,No,3
https://www.pinterest.com/pin/603482418804261691/,Organic,From you,No,3
https://www.pinterest.com/pin/603482418835551299/,Organic,From you,No,3
https://www.pinterest.com/pin/603482418804992561/,Organic,From you,No,3
"Top pins table is restricted to data from the last 6 months. This includes estimated data from 2023-10-15, which gets adjusted as it's verified over time."

