Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Poland,Price / Poland,Compare At Price / Poland,Included / Nike,Price / Nike,Compare At Price / Nike,Status
art-nft-gated,ART [NFT Gated],http://www.kraboweskorupki.com/,Krabowe Skorupki,,ART,"kraboweskorupki.com, spo-default, spo-disabled, spo-notify-me-disabled",true,Title,Default Title,,,,,72102909_004,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/ART_b382c613-61e8-41a7-bf42-e89c985193ea.jpg?v=1665843623,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
short-sleeve-unisex-t-shirt,UNISEX T-SHIRT,"This t-shirt is everything you've dreamed of and more. It feels soft and lightweight, with the right amount of stretch. It's comfortable and flattering for all. <br>
<br>
• 100% combed and ring-spun cotton (Heather colors contain polyester)<br>
• Ash color is 99% combed and ring-spun cotton, 1% polyester<br>
• Heather colors are 52% combed and ring-spun cotton, 48% polyester<br>
• Athletic and Black Heather are 90% combed and ring-spun cotton, 10% polyester<br>
• Heather Prism colors are 99% combed and ring-spun cotton, 1% polyester<br>
• Fabric weight: 4.2 oz (142 g/m2)<br>
• Pre-shrunk fabric<br>
• Side-seamed construction<br>
• Shoulder-to-shoulder taping<p><strong class=""size-guide-title"">Size guide</strong></p><div class=""table-responsive dynamic"" data-unit-system=""metric""><table cellpadding=""5""><tbody>
<tr>
<td> </td>
<td><strong>LENGTH</strong></td>
<td><strong>WIDTH</strong></td>
</tr>
<tr>
<td><strong>S (cm)</strong></td>
<td>71.1</td>
<td>45.7</td>
</tr>
<tr>
<td><strong>M (cm)</strong></td>
<td>73.7</td>
<td>50.8</td>
</tr>
<tr>
<td><strong>L (cm)</strong></td>
<td>76.2</td>
<td>55.9</td>
</tr>
<tr>
<td><strong>XL (cm)</strong></td>
<td>78.7</td>
<td>61</td>
</tr>
<tr>
<td><strong>2XL (cm)</strong></td>
<td>81.3</td>
<td>66</td>
</tr>
<tr>
<td><strong>3XL (cm)</strong></td>
<td>83.8</td>
<td>71.1</td>
</tr>
<tr>
<td><strong>4XL (cm)</strong></td>
<td>86.4</td>
<td>76.2</td>
</tr>
</tbody></table></div>",Krabowe Skorupki,,"","spo-default, spo-disabled",true,Color,Heather Blue,Size,S,,,3801181_8474,130.407806375,shopify,deny,manual,74.59,74.59,true,true,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-blue-front-61e91c08c1b6d.jpg?v=1642667023,1,,false,,,,,,,,true,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-blue-front-61e91c08c1b6d.jpg?v=1642667023,oz,,62.44,true,,,true,,,active
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Blue,,M,,,3801181_8475,141.747615625,shopify,deny,manual,74.59,74.59,true,true,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-raspberry-front-61e91c08c2567.jpg?v=1642667025,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-blue-front-61e91c08c1b6d.jpg?v=1642667023,oz,,62.44,,,,,,,
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Blue,,L,,,3801181_8476,164.427234125,shopify,deny,manual,74.59,74.59,true,true,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-orange-front-61e91c08c2940.jpg?v=1642667026,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-blue-front-61e91c08c1b6d.jpg?v=1642667023,oz,,62.44,,,,,,,
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Blue,,XL,,,3801181_8477,170.09713875,shopify,deny,manual,74.59,74.59,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-blue-front-61e91c08c1b6d.jpg?v=1642667023,oz,,62.44,,,,,,,
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Blue,,2XL,,,3801181_8478,201.2816141875,shopify,deny,manual,83.63,83.63,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-blue-front-61e91c08c1b6d.jpg?v=1642667023,oz,,70.46,,,,,,,
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Blue,,3XL,,,3801181_8479,212.6214234375,shopify,deny,manual,90.41,90.41,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-blue-front-61e91c08c1b6d.jpg?v=1642667023,oz,,79.88,,,,,,,
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Blue,,4XL,,,3801181_8480,255.145708125,shopify,deny,manual,99.45,99.45,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-blue-front-61e91c08c1b6d.jpg?v=1642667023,oz,,88.36,,,,,,,
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Raspberry,,S,,,3801181_8523,130.407806375,shopify,deny,manual,74.59,74.59,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-raspberry-front-61e91c08c2567.jpg?v=1642667025,oz,,62.44,,,,,,,
short-sleeve-unisex-t-shirt,,,,,,,,,Heather Raspberry,,M,,,3801181_8524,141.747615625,shopify,deny,manual,74.59,74.59,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0036/3990/2271/products/unisex-staple-t-shirt-heather-raspberry-front-61e91c08c2567.jpg?v=1642667025,oz,,62.44,,,,,,,
